key,condition,environment,T,seed,tag,host_run_dir,config_path,config_bytes,config_sha256,eval_path,eval_bytes,eval_sha256,checkpoint_path,checkpoint_bytes,checkpoint_sha256,score_column,deployment_d4rl
bar_p4|hopper-medium-v2|T=4|seed=0,bar_p4,hopper-medium-v2,4,0,hopper-medium-v2_tau4_mpi4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0/config.json,709,c7f7a3a27a7a44c0a1bfa16108b919fb660d6ce3ae1616397c6d21fe42e81503,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0/eval.csv,226,9809b39225dda960d6f0e342250402303e16bb5a4a5f8be567b38a060b502efe,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed0/params_1000000.pkl,5863045,4c25bbb74d113c89de8a023d43641d17d89c13138ef718380fb2ff0a2848da9b,d4rl_pi4,58.43276895306132
two_actor_p4|hopper-medium-v2|T=4|seed=0,two_actor_p4,hopper-medium-v2,4,0,hopper-medium-v2_tau4_mcep4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0/config.json,716,e1baa59212361a2fffd6d1007098219a0cb7ace8c0f0a0c2a3a71f53b532a38a,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0/eval.csv,225,1ad2ea6be92f663faf4cb7f707b3adfd5d6e3dc7d204211b11bff63fccdf4106,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed0/params_1000000.pkl,4190513,2ab14b0b352781ed285ebf5e2b2ebf628dda13b8c9b59f78b65f8a6c6b9d0bca,d4rl_eval,75.49907526614189
bar_p4|hopper-medium-v2|T=4|seed=1,bar_p4,hopper-medium-v2,4,1,hopper-medium-v2_tau4_mpi4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1/config.json,709,b868fd91e0f4efca30d0ef945296f12e80a9ff721b47310d3a8420a1966bef85,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1/eval.csv,224,3fbf4349aded37b25cfb8545c5afd9482e8b25196bb33ce865e9ee44d617d9ff,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau4_mpi4_seed1/params_1000000.pkl,5863045,a86004530a9b4190850300b6d6dd85c1d7e9a324b0f4f801b8d0da3be7dee6b1,d4rl_pi4,70.98385541587153
two_actor_p4|hopper-medium-v2|T=4|seed=1,two_actor_p4,hopper-medium-v2,4,1,hopper-medium-v2_tau4_mcep4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed1/config.json,716,9a0dcfd63002c590354dc082359a9f7d168765df32304a22d389904ff6ce8dca,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed1/eval.csv,225,3a9e2caaddfb2f2201f538046dab1ae21b9160a57f418fbdc0d6a23f6fd8b96b,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau4_mcep4_seed1/params_1000000.pkl,4190513,5d167436fa2250865497d7db03f0234af3d08f11c784a87683cd7bc1750d0e26,d4rl_eval,57.867585638127984
bar_p4|hopper-medium-v2|T=7|seed=0,bar_p4,hopper-medium-v2,7,0,hopper-medium-v2_tau7_mpi4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed0/config.json,709,a9cfd75dd4837b13accb4d665607c6fec8aab2effcd1a7621007794275107dc4,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed0/eval.csv,223,4c7bdc01ff9b00e93606611c907606b6572a0793fbcd802139982ee4865b5f56,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed0/params_1000000.pkl,5863045,33688a1a6801d7989e0eed53fd598298267c43f307a648c2e1626f3369dc7ccf,d4rl_pi4,97.42622666302383
two_actor_p4|hopper-medium-v2|T=7|seed=0,two_actor_p4,hopper-medium-v2,7,0,hopper-medium-v2_tau7_mcep4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed0/config.json,716,3c59ccb753dd46c8c99f33699583c3673679dfd989e99ae877a6dfb5fe9fd4b7,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed0/eval.csv,226,0f871a9cf258b2dbffb8c006d390814a2162e00f2547256e78d3a6416155ed00,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed0/params_1000000.pkl,4190513,dd991a7b5a0fc5b43d2c95941c94cec8788bd5784aae1eabb5a38e466738004c,d4rl_eval,98.89577782514104
bar_p4|hopper-medium-v2|T=7|seed=1,bar_p4,hopper-medium-v2,7,1,hopper-medium-v2_tau7_mpi4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed1/config.json,825,19cd34867af1bee93fdee89143d5ad7f95c2dc05b66cb1e1fd6fd2cdb3197e25,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed1/eval.csv,222,6ca34ee0bee4ae4d484ac0f1db7726212cade382aad6fa19bbb76828045d4311,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau7_mpi4_seed1/params_1000000.pkl,5863163,333d00bd6ed883a1c348c636cabaa88bc6936ee898c5e5d7de4c1d357244814c,d4rl_pi4,83.4861315173573
two_actor_p4|hopper-medium-v2|T=7|seed=1,two_actor_p4,hopper-medium-v2,7,1,hopper-medium-v2_tau7_mcep4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed1,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed1/config.json,839,6e4d628ecd9f28b9b1e30bf943954715073fd629700a2ff329bc44473c22fa8b,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed1/eval.csv,227,b390e79748124766bf416455ba01fda5d7097c514192a4261389ceb59d71ff51,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau7_mcep4_seed1/params_1000000.pkl,4190623,0d392f6989999e81cdb9662b6d7461b16c61357b36bc36a79567d32c2c4f5252,d4rl_eval,100.49764317272498
bar_p4|hopper-medium-v2|T=10|seed=0,bar_p4,hopper-medium-v2,10,0,hopper-medium-v2_tau10_mpi4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed0/config.json,710,e283fdc455028eaf2e7a3ec13e33915560b4d40c0bc1c588a89568132259e9f6,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed0/eval.csv,224,4431eefc534f801674176feed3dfe8c3361735b67c2084a47772bd4f8e741b42,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/bar_p4/hopper-medium-v2_tau10_mpi4_seed0/params_1000000.pkl,5863045,c18b5784bbb5ff656afb5d80ca61d1b5a828853cc6108b710ad009500f1d0f3d,d4rl_pi4,100.62532829809756
two_actor_p4|hopper-medium-v2|T=10|seed=0,two_actor_p4,hopper-medium-v2,10,0,hopper-medium-v2_tau10_mcep4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau10_mcep4_seed0,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau10_mcep4_seed0/config.json,717,a2a9c4b894d14e602765b776cd961225ec0673a96cfccf4046ae28073c928e99,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau10_mcep4_seed0/eval.csv,224,97e519e828369c98b4be0c2b7f37f7ee25f56f75477c48fc9d681959ab36cfec,/home/ext_csv/mpi_sweep_lab/p0_bar_two_actor_p4_29fea94/runs/two_actor_p4/hopper-medium-v2_tau10_mcep4_seed0/params_1000000.pkl,4190513,11d881d2cdb89c2d671efbb1858f595689221bb8c08588fb35a4307829be8480,d4rl_eval,99.59075623653766
