item,value,provenance
actor architecture,MLP 256-256 ReLU with tanh output,train_td3bc.py
critic architecture,twin MLP 256-256 ReLU,train_td3bc.py
optimizer,Adam,train_td3bc.py
learning rate,3e-4,archived sweep and implementation
nominal budget mapping,"T=tau=alpha/2; h=T/K; K1 uses alpha=2T",train_td3bc.py
Q-scale safeguard,1e-6,train_td3bc.py
batch size,256,archived sweep and implementation
discount,0.99,archived sweep and implementation
policy delay,2 critic updates,implementation
target Polyak coefficient,0.005,archived sweep and implementation
target policy noise,0.2 times action bound,implementation
target noise clip,0.5 times action bound,implementation
state normalization,mean/std plus 1e-3,implementation
critic updates,1000000,archived sweep
intermediate evaluation cadence,"run-family-specific: 50k for K1/P2/P3; mixed 50k/final-only for L2; final-only for L3; exact K4 configs unavailable",author-held archived configs and K4 launcher
evaluation episodes,10,author-held archived configs and K4 launcher
reported score,10-episode D4RL normalized mean at 1M,source score matrices and author-held eval.csv
timeout handling,timeout rows omitted from transition construction,implementation
terminal handling,terminal flag stops bootstrap,implementation
